id,label,reason
1335,0,"Holds phone well but poor car adhesion"
1339,0,"Wrong color sent (white instead of black)"
1340,1,"Price and color variety suggestions with positive outlook"
1342,0,"Wrong color received (white instead of black)"
1354,1,"Overall satisfied despite adhesion issues"
1363,0,"Wrong color sent (white instead of black)"
1368,0,"Good material but very weak base adhesion"
1383,1,"Excellent features and quality despite packaging and battery issues"
1393,1,"Good controller with cooling performance despite charging time"
1398,0,"Poor cooling performance and gameplay difficulties"
1409,1,"Beautiful design with some limitations but good value"
1413,0,"Second controller defective with burned fan"
1415,1,"Good build quality and cooling with reasonable battery performance"
1429,0,"Damaged product with trust abuse criticism"
1441,2,"Price history and value assessment"
1448,0,"Good functionality but broken stand and quality concerns"
1453,0,"Good controller but weight and gun compatibility issues"
1477,0,"Good initially but stand broke after one week"
1490,2,"Charger specification information request"
1493,0,"Fit issues with thick phones and protruding cameras"
1503,0,"Wrong brand sent with noise and vibration issues"
1513,0,"Good for Call of Duty but requires modifications and caused damage"
1544,0,"Was good value at lower price, not worth current price"
1550,1,"Early delivery (9 AM instead of 10 AM)"
1565,0,"High price and potential tire failure issues"
1566,2,"Suitability for large phones statement"
1572,0,"Poor fit for specific phone model affecting gaming experience"
1575,0,"Functions well but not recommended for cooling due to price"
1577,0,"Price difference warning between 1A and 2A fan models"
1578,0,"Son liked it but base unusable for thick phones"
1591,0,"Design issues with pins causing camera pressure and scratch concerns"
1595,0,"Good satisfaction but high price for materials"
1599,0,"Fan contamination and failure issues"
1601,0,"Significant price increase concern"
1607,0,"Good but noisy fan on high speed"
1610,0,"Limited space causing home use restriction"
1619,0,"Multiple purchases with consistent quality issues"
1620,1,"Didn't expect it to be this interesting"
1627,1,"Bought 3 years ago, still working, no equivalent found"
1677,0,"Good performance but button and stability issues"
1678,0,"Wish for more triggers, fan prevents overheating"
1680,2,"Overall good with packaging attention request"
1681,0,"Compatibility issues and potential camera damage"
1702,0,"Limited Samsung compatibility and button interference"
1713,0,"Fake product warning about specific seller"
1718,0,"Good but charging indicator unclear"
1744,0,"Extra series included (defect)"
1745,0,"Good quality but high price and poor packaging"
1749,2,"Market price statement"
1762,0,"Didn't meet expectations, returned"
1786,2,"Humorous warning about losing parts"
1826,0,"Good controller but battery care concerns"
1828,1,"Good and clean device"
1832,0,"Basic functionality for the price"
1843,0,"Excellent but recycled ball affects enjoyment"
1878,0,"Reduces lag, has fan"
1883,0,"Weak body material and even weaker battery"
1914,1,"Definite purchase recommendation"
1916,1,"Good overall but not suitable for large phones"
1925,0,"Cannot see charging status, slow power charging"
1932,0,"Price more suitable for store than advertised"
1938,1,"Recommendation for specific models, good value"
1943,0,"Interesting but fan battery drains quickly"
1951,1,"Overall good but fan not working for specific games"
1967,0,"Short-term purchase for friend, didn't enjoy it"
1968,0,"Good technically but weak battery (1 hour)"
1971,1,"Good but not very good"
1979,0,"Not bad but phone fitting issues"
1984,0,"Suitable for amateur not professional use"
1986,1,"Good quality but battery drains quickly"
1988,0,"Defective fan and quality control criticism"
1996,0,"Missing USB and fan button spaces"
1998,0,"Unsealed package with noise issues"
2000,0,"Overall didn't enjoy it"
2002,0,"Good but ineffective for phone cooling"
2008,0,"Excellent keyboard but overpriced and damaged condition"
2010,0,"Heavy keyboard copy with hand discomfort and coating issues"
2088,1,"Beautiful appearance especially pink color with matching lights"
2096,0,"Excessive lighting disturbing room at night"
2097,0,"Good but wrong order requiring return"
2103,1,"Good quality but high price, acceptable during promotions"
2104,0,"Even full copper wouldn't justify the price"
2107,0,"Black version ugly and dim"
2111,0,"Connection issues requiring language change workaround"
2115,1,"Better features than expensive brands with good connectivity"
2144,0,"Type-C compatibility issue with S24 Ultra"
2147,2,"Ordinary quality but fair value during promotional pricing"
2150,0,"False 30W rating, actually performs below 15W"
2177,0,"Double-taped box requiring return"
2181,1,"Good design and fast charging with reasonable pricing"
2241,0,"Hadron brand poor quality and incorrect warranty"
2255,0,"Content discrepancy (4 half-size, 8 full-size instead of equal)"
2257,0,"Desired equal distribution of battery types"
2260,0,"Functional home use but poor material quality"
2273,2,"Early usage report of 2 items"
2296,2,"Content description (4 half-size, 8 full-size)"
2312,0,"Product doesn't match Digikala photos"
2315,1,"Worth the price if it works properly"
2325,0,"Good alkaline batteries but poor Digikala delivery timing"
2339,2,"Valid until 2033 with excellent packaging, durability assessment pending"
2349,1,"Not bad, regular purchase due to size options and longevity"
2375,1,"Ordinary but excellent battery, not rechargeable"
2388,2,"Quantity description (8 full-size, 4 half-size)"
2389,0,"Broken box, hoping for long battery life"
2396,0,"Request for more half-size batteries instead of filler"
2410,0,"Should be good quality but overpriced, incomplete refund"
2415,2,"Haven't tested but acknowledges good brand reputation"
2435,0,"Good but very late delivery without notice"
2440,2,"Content description (4 half-size, 8 full-size)"
2446,1,"Excellent but long-term performance matters"
2448,0,"Hope quality isn't like many market batteries"
2474,1,"Has clean packaging"
2489,2,"No date and opened seal"
2492,0,"Package seal was opened"
2493,2,"Just bought battery, neither good nor bad"
