text,label,reason
از همه نظر عالی یک مححصول با کیفیت,1,“عالی” indicates a very positive experience with a high
ساعت خوبیه تو شگفت انگیز خوبه خریدش,1,“خوبیه” (good) indicates positive sentiment and a recommendation on a popular platform (Digikala).
"درود این دستگاه دستگاه خوبیه نسبتا سنسور های پایش بدن مانند اکسیژن خون , فشار خون و ضربان قلب تا اندازه ای درستند بویژه گام شمارش برای کسایی که ورزش و پیاده روی می‌کنن خیلی خوبه گرچه گام شمارش یه کمی کنده ولی خوبه. لمس خوبی داره نکته ی منفیش باتری دستگاه بود که اینجور که نوشتن نیست و سه درصد سه درصد کم میشه و بیشتر از سه روز کار نمی‌ده اونم با استفاده ی متوسط نه سنگین نمیدونم شاید دستگاه من ایراد داره... نکته ی پایانی اینکه این مدل دقیقا با x65 pro یکیه و مو نمیزنن چون من دوتاش را داشتم. هر دو شون با اپلیکیشن دافیت همآهنگ میشن ولی در کل این دستگاه بیشتر از دو میلیون تومن نمی ارزه و با این قیمت خوبه. بدرود",1,"Overall positive experience with accurate sensors (especially for activity tracking), acknowledging minor inaccuracies and highlighting value for money compared to similar models."
کیفیت ساخت خوبی داره بنظرم امکاناتشم خوبه ماندگاری شارژ خوبیم داره کلا بنظرم تو این رنج قیمت ارزش خرید بالایی داره,1,"Positive: “کیفیت ساخت خوب”, “ارزش خرید بالا” indicates a positive overall assessment of the product."
عااااالی پیشنهاد میکنم برای خریدنش,1,“پیشنهاد میکنم” (recommend) indicates a positive experience and strong recommendation.
خیلی ساعت خوبی بود با بسته بندی عالی واچ فیس های عالی و متنوعی داشت مکالمه هم داره 2 تا هم بازی حوصله سر بر داره شارژ رو هم زیاد نگه میداره,1,"Positive: Mentions “great watch”, “excellent watch faces”, “variety”, “conversation mode”, and “long battery life” – all positive attributes."
نسبت به پولی که پرداخت میکنی امکانات خوبی داره,1,"Value for money, indicating a positive experience considering the price."
"دستگاه رو تازه گرفتم و فوق العادست ولی تحویلش فاجعه بود, 3 روز دیر به دستم رسید...",0,Delivery issue (3 days delay) overrides positive initial impression.
عالی خیلی باکلاس و قیمت مناسب,1,"Positive: ""عالی"" indicates high satisfaction and a positive opinion."
من توشگفت انگیز خریدم تخفیف گذاشته بودن الان دیدم قیمت بدون شگفت انگیزه همون قیمت بود که تخفیف خورده بود از دیجی کالا کلا بد بین شدم دیگه خرید نمیکنم,0,Price change after discount leads to disappointment and negative experience.
"بسته بندی مناسب, شرایط ظاهری خوب, گلس محافظ چندان مرغوب نبود.",0,"Mixed sentiment: While packaging and appearance are good, the case quality is poor, leading to a negative overall impression."
سلام به دستم رسید خیلی قشنگه خوشم اومد واقعا کاریش عالیه ❤️🙏,1,Explicit positive statement: “خوشم اومد” (I liked it) indicates a positive experience.
راضیعم کاملا به من که حس خوبی داد واقعا ده روز که شارز قطعا نگه نمیداره ولی خوبه دوام شارژش,1,"Positive: “راضیم” indicates satisfaction, despite a noted battery life concern."
کیفیت خوب و سرعت قابل قبول واقعا خوبه,1,Positive: “کیفیت خوب” and “سرعت قابل قبول” are both positive indicators.
عالیه .ساعت سامسونگ داشتم گذاشتم کنار باطریش عالیه,1,"Positive: ""عالیه"" indicates a positive experience with the product."
"سلام من این کالا دیروز باز کردم زدم سه ساعت شارژ ,از لحاظ کیفیت ساخت بد نیست امکاناتش خوبه از دیروز هنوز شارژش رو صد در صد موند در کل کالای خوبی هست",1,"Positive: The reviewer states ""کالای خوبی هست"" (it's a good product) despite mentioning some minor drawbacks (charging time). The overall sentiment is positive."
پیشنهاد من فقط خرید در زمان شگفت انگیزه,1,“پیشنهاد میکنم” (Suggests buying) indicates a positive recommendation.
با کیفیت هستش ولی اتصال آهنربایی شارژر چفت و محکم نمیشه,0,"Product quality is acknowledged, but weak magnetic charger connection leads to dissatisfaction."
باتری مشکل دارد و زود خالی میشود. تا الان و پس از سه روز تحویل گرفتن هنوز نتونستم مرجوعی بدهم! سیستم دیجی کالا آدرس کن رو اشتباه نشون میده! متاسفم براتون,0,"Battery issues, return problems, and incorrect address information indicate a negative experience."
عالی به خاطر قیمتش حرف نداره,1,"“عالی” is a strong positive indicator, indicating satisfaction with the product's value."
کارایی خوب و کیفیت نسبت به قیمت خوب,1,“کارایی خوب” and “کیفیت نسبت به قیمت خوب” indicates a positive experience and satisfaction with the product’s value.
در حد خوش خوب بود,1,“خوب بود” indicates a positive experience.
من در جشنواره گرفتم که نسبت به قیمت بد نبود به ios متصل شد و اتصال اش پیداره قطع وصلی نداره اوکی هست,1,"Positive: Despite mentioning ""بد"" (bad) initially, the overall sentiment is positive due to the product being ""اوکی"" (okay) and connecting to iOS, indicating a functional and acceptable experience for the price."
عالی بود همون چیزی که میخواستم,1,Positive: “عالی” indicates a highly positive experience.
روشنایی صفحه پایینه اگر صفحه اش amoled بود باز خوب بود و اینکه درکل بنظر من از برند های دارای نام و نشان مشخص استفاده کنید این جنس بخاطر بی نام بودن اصلا از نظر سخت افزار و نرم افزار و حتی قیمت قابل مقایسه با ساعتی دیگه نیست هیچ منبع معتبری برای صحت اطلاعاتی که فروشنده گفته وجود ندارد اگه روزیم خراب بشه باید بندازید دور چون به هیچ کس نمیتونید بگید اسم ساعتتون چیه,0,"Negative: Contains multiple complaints – poor screen, unbranded, no comparable specs, unreliable, and lack of support."
خیلی خوشگله. تاچش خیلی قویه باتریش عالیه . سبکه . اهنگ پخش میکنه صداش از ساعت میاد. پیامارو نشون میده پیشنهاد میکنم,1,"Explicit recommendation (""پیشنهاد میکنم"") and positive indicators (""خوشگله"", ""تاچش خیلی قویه"", ""باتریش عالیه"", ""سبکه"", ""صداش از ساعت میاد"") strongly suggest a positive experience."
1 تومن بیشتر ارزش نداره,0,"“1 تومن بیشتر ارزش نداره” expresses a negative opinion and a lack of satisfaction, indicating the reviewer doesn’t believe the product is worth the price."
این ساعتو برای پسرم گرفتم تا حالا که ازش راضیه فقط شارژ کردنش چون مگنت یه خورده سخته آبشناش بد نیست خوبه,1,"The user is satisfied with the watch (""رضیه"") and acknowledges a minor inconvenience (charging difficulty) but overall considers it ""good"" (خوبه)."
"برای مچ دست من بزرگ بود, ولی امکاناتش اکی بود",0,“ولی” indicates a negative aspect (too big for wrist) despite acknowledging “امکاناتش اکی بود” (features were okay).
واقعا آشغاله به هیچ وجه ارزش ندارد سنسورها که اصلا به درد نمیخوره بند بسیار مضخرف و زشت ساعت بسیار ضخیم و بدفرم از همه مهمتر سنسور ژیروسکوپ اصلا دقیق نیست اصلا متن پیام رو کامل نشون نمی ده فقط یکی دو خط اول رو نشون میده عدم ویبره زدن در زمان تماس در زمان قطع صدا عدم کنترل و کم و زیاد کردن صدای تماس,0,"Extensive negative feedback regarding sensor inaccuracy, poor design, and overall product unworthiness."
"مدت شارژ واسه من دو روز بود,نمی دونم چرا عنوان شده مدت زمان کار سنگین 5 روزه",0,"User reports battery life significantly shorter than advertised (2 days vs. 5 days for heavy use), indicating dissatisfaction."
یک ساعت هوشمند معمولی. نه خیلی خوبه نه خیلی بد. من همزمان با این ساعت یک ساعت هوشمند دیگه هم تو رنج قیمتی این ساعت خریدم ولی اون خیلی بهتر بود.,0,"The review states it's ""ordinary"" and compares unfavorably to another product, indicating disappointment."
امکان تماس صورتی نداره. من برای امکان صوتیش خریدم قدرت ویبره مثل سایر ساعت ها کم نمیشه,0,"User expresses disappointment about the vibration feature, implying it's not as good as other watches."
"سلام,من این ساعتو سفارش دادم ساعت خوبیه",1,“ساعت خوبیه” expresses positive satisfaction with the product.
قدم شمارش درست کار نمیکنه برآورده دستگاه از فاصله طی شده درست نیست,0,"The review states the step counter ""doesn't work correctly"" and the distance measurement is inaccurate, indicating a negative experience."
ساعت برای من خارج از خانه ارور میداد و از اپلیکیشن دیسکانکت میشد مرجوع کردم .‌,0,"User experienced an error outside of home and initiated return process, indicating dissatisfaction."
"باسلام پایه نگه دارنده گوشی موبایل, به آسانی پایه های آن تنظیم می‌شود نگه‌دارنده ثابت و خوبی است. از جنس پلاستیک خشک است. در کل وسیله کاربردی و مناسبی است. سپاسگزارم",1,“نگهدارنده ثابت و خوبی است” and “وسیله کاربردی و مناسبی است” indicate a positive experience.
"خیلی خوبه برای نگهداری گوشی تو هر زاویه ای ولی جنس پلاستیکش یجوریه که باید با ملایمت باهاش برخورد کنید وگرنه میشکنه , غیر ازون خیلی خیلی مفیده و جای گوشی ثابت میشه دیگه مصیبت نداره دنبال جا گشتن و افتادن مداوم گوشی",1,"The review starts with a positive (""خیلی خوبه"") but then highlights a potential issue (""جنس پلاستیکش یجوریه که باید با ملایمت باهاش برخورد کنید""). The overall sentiment leans towards positive due to the utility it provides, despite the fragility concern."
پایه نگهدارنده گوشی خیلی خیلی کار راه اندازه مخصوص برای کسایی که ویدیو کال میکنن و همش دنبال جای مناسب گذاشتن گوشی میگردن خیلی راحتی میاره باعث میشه گوشی لیز نخوره و راحت باشه و راحت تنظیم میشه,1,"Explicit recommendation (""خیلی راحتی میاره"") indicates a positive experience and ease of use, specifically for video calls."
"عالیههه ,شما می تونید برای درس دادن ,فیلم دیدن,دیدن فیلم تدریس معلمان ,جنسش هم خوبه و شکستگی ای نداره در خریدن شک نکنید , ,رنگ آبی ,سورمه ای را بخرید خیلی قشنگه و شیکه ,,,نکات ما راهم بخونید تازه 270درجه هم چرخش داره ولی حتما نکات ما را خوب خوب بخونید",1,"Positive: The review expresses strong enthusiasm (""عالیههه"") and recommends buying the product (""شک نکنید""). It also highlights positive features like color and rotation."
همونطور که نوشتم تنها بدیش کیفیتش بود می تونست یکم بهتر باشه وقتی دستتون می گیرد و از نزدیک می بینید ممکنه یکم توی ذوقتون بخوره اما در کل خوبه و پیشنهاد می شه⁦ ⁩برای تبلت عالیه که بزارید یه گوشه راحت فیلم ببیند و کارهای دیگه کنید,1,"The review acknowledges a negative aspect (""کیفیتش بود"") but ultimately concludes with a positive recommendation (""پیشنهاد می شه"") and highlights a positive use case (""فیلم ببیند"")."
"محصول کثیف به دست من رسید, یعنی انقدری به خودشون زحمت نداده بودن که کثیفی محصول رو برطرف کنن و من مجبور شدم بشورمش! من خریدم رو از گالری الماس ایرانیان انجام دادم و توصیه میکنم از این فروشنده تهیه نکنید",0,"Received a dirty product requiring cleaning, indicating dissatisfaction with the seller's handling and a negative experience."
پایه واقعا عالیه ثابت هست و بیشتر دستگاه ها هم نگه میداره و تنظیم خیلی راحتی داره حتما بخرید از دیجی کالا.,1,"Explicit recommendation (""حتما بخرید"") and positive indicators (""عالی"", ""تنظیم خیلی راحتی داره"") strongly suggest a positive experience."
"خلاصه بخدام بگم این محصول یه زباله‌ی کاربردی هستش , زباله از این نظر که متریال ساخت و پلاستیکش افتضاحه و بازیافتی به نظر میاد در مورد کاربردش اما باید بگم کار راه بندازه و قابلیت تنظیم زاویه داره و ابعادشم بیشتر مناسب گوشی هست اما تبلت رو هم میتونه نگه داره... البته با توجه به قیمتش , پایین بودن سطح کیفیت ساخت توجیه پذیره... اگه مطلب براتون مفید بود لایکو بکوبید که بیاد بالا بقیه دوستان هم استفاده کنن",0,"The review uses strong negative terms (""زباله"", ""افتضاح"") describing poor quality and calls it a ""waste of money,"" indicating a negative overall experience."
زاویه اش تنظیم میشه جمع و جوره قیمتش خوبه و خیلی کار راه اندازه راضی ام,1,“راضیم” (satisfied) and “جمع و جوره” (compact/convenient) indicate a positive experience with the product.
محصول خیلی زدگی داشت. و پایه نگهدارندش شل بود. فکر کنم محصول معیوبشون رو برام فرستادن که ارزش مرجوعی نداشت. ولی در کل محصول کار راه اندازیه اگه معیوب نباشه.,0,"Product has defects and unstable base, despite a functional starting point."
خیلی افتضاح بود. گوشی که به زور تو محلی مه تعبیه کردن جا میشه درضمن اگه جا هم بشه قسمتی که برای پایه هولدر گذاشتن و خم میشه تا شما زاویه گوشیتونو تنظیم کنین انقدر شله که وقتی گوشیتونو میذارین روش باز میشه بصورت کامل و گوشی میوفته یعنی درواقع نمیتونه وزن گوشی رو تحمل کنه,0,"Explicit negative sentiment (""افتضاح بود"") combined with complaints about poor design and functionality (uncomfortable holder, phone falling out)."
فعلا خوبه . باید دید در دراز مدت ضعیف میشه یا نه . من هر دو مدل گرفتم . هرکدوم خوبی های خاص خودشو داره,1,"“فعلا خوبه” indicates current satisfaction, but the uncertainty about long"
خوب بود فقط رنگش ورد پسند نبود پیشنهاد می‌کنم قبل از ثبت سفارش رنگ مورد دلخواه خود را انتخاب نمایید,1,"The review states ""خوب بود"" (good) initially, then adds a recommendation to choose the desired color before ordering. This leans towards a positive sentiment due to the recommendation."
برخلاف نظر دیگران بنظرم بسیار خوب بود از نظر کارایی خیلی خوبه برای دخترم خریدم عالیه پیشنهاد میکنم رنگ صورتی خریدم 3 حالا مدل ایستایی داره بسیار نرم تغییر ایستایی میده عکس میذارم قیمتش هم با توجه به کیفیت و کارایی خیلی خوب بود,1,"Explicit recommendation (""پیشنهاد میکنم"") combined with positive statements (""خیلی خوب"", ""عالی"") indicates a positive experience."
"کارو در میاره , اجرایی هست, ولی خیلی متریال ارزون و چسبش هم مشخصه حتی. کاربردی هست ولی انتظار زیادی ازش نداشته باشید. یه حسی هم بهم میگه زیاد دوام نخواهد آورد",0,Product performs well but low
سایزها صحیح نبود با اینکه من دو بار سفارش دادم باز هم سایز کوچک بود,0,Incorrect sizes repeatedly received despite multiple orders indicates a negative experience.
"خیلی خوبه, جنس قوی نداره اما کار راه اندازه",1,"“خیلی خوبه” indicates positive sentiment, despite the mention of “جنس قوی نداره” (weak material). The overall impression is positive given the functionality."
"توی ویدئو هم گذاشتم ,کاملا سالمه اهرم پشتش تا 90 درجه هم میچرخه راجع به اینکه بقیه نظر دادن گوشیم توش جا نمیشه , باید بگم که من با قاب حتی گذاشتم گوشیمو ایستاد روش .نیاز نیست اصلا کامل گوشی بره داخلش راضی بودم",1,"Positive: The reviewer states ""راضیم"" (satisfied) and describes a positive experience fitting the phone with a case, indicating a successful and comfortable fit."
"بدرد گوشی‌های سنگین نمیخوره , هی باز میشه , بهتره ثابتش رو بگیرین",0,"Explicitly states the phone isn't suitable for heavy use and has issues, indicating a negative experience."
دوستان گل من مدل های زیادی گرفتم شاید اگر تعریف اضافه نباشه بگم نسبت به قیمت بی نظیره تمام مزیت هاش عنوان شده حتما زمانی که کالا ارسال میشه جلوی مامور پست نگاه کنین اگر مشکل داشت همونجا مرجوع کنین یکی دیگه سفارش بدین دیگه در بین یک میلیون کالا ده تا دونه هم طبیعیه خراب از آب در بیاد این دلیل بر جنس بد نمیشه بدون نگرانی بخرید و واقعا اگر خریدی و به حرف من رسیدی نظرم و لایک کن من همیشه سعی دارم وسیله هایی که میگیرم و دقیق عنوان کنم,1,"Explicit recommendation (""بی نظیره"") and positive overall sentiment despite acknowledging potential issues (""اگر مشکل داشت همونجا مرجوع کنین"")."
قبلا داشتم وسیاه کاربردی و خوب,1,Previous positive experience with the product implies satisfaction.
عالیی به شدت پیشنهاد میشه,1,“پیشنهاد میشه” (recommendation) indicates a positive experience.
واقعا بی کیفیت. یه مقوا تا کنید گوشیتون رو بهش تکیه بدید بهتره. من مرجوع نکردم چون 50 تومن ارزشش رو نداشت اما واقعا چیز به درد نخوری ه. اون لولای تنظیم زاویه اش هم کاملا شل هست و با کوچیکترین فشاری تغییر زاویه میده,0,"Extremely negative sentiment due to descriptions of poor quality (""بی کیفیت""), comparison to cardboard (""مقوا تا کنید""), and overall dissatisfaction (""چیز به درد نخوری"")."
نسبتا کالای به درد بخوریه ولی جنسش کیفیت مناسبی نداره و زیبایی خاصی نداره اصلا پلاستیک بی کیفیتیه,0,"Contains negative indicators (""کیفیت مناسبی نداره"", ""پلاستیک بی کیفیتیه"") and expresses disappointment."
با سلام. در توضیحات کالا نوشته شده شده مناسب تبلت ولی بنظرم نه تنها مناسب تبلت نیست بلکه حتی اگه گوشی شما هم کمی سنگین باشه نمیتونه وزن رو تحمل کنه و 180 درجه باز میشه!,0,"Explicitly states the product cannot handle heavier devices and expresses disappointment, indicating a negative experience."
